"Active","Type","ID","GroupLevel","Abbreviation","Metric","Numerator","Denominator","Model","AnalysisType","Score","Threshold","AccrualThreshold","AccrualMetric","GenerateRiskSignal","Priority","Flag","ScoreCol","RiskScoreWeight","nPropRate","nNumDeviations","MetricID"
TRUE,"Analysis","qtl0001","Study","IE","Inclusion/Exclusion Violation Rate","Number of subjects ineligible","Number of subjects enrolled","Normal Approximation","binary","Adjusted Z-Score",NA,NA,NA,TRUE,0,NA,NA,NA,0.03,3,"Analysis_qtl0001"
TRUE,"Analysis","qtl0002","Study","SDSC","Study Discontinuation Rate","Subjects Discontinued - Study","Enrolled Subjects","Normal Approximation","binary","Adjusted Z-Score",NA,NA,NA,TRUE,0,NA,NA,NA,0.07,3,"Analysis_qtl0002"
